x_block,y_block,n_cells,positive_cells,center_Boylam,center_Enlem,mean_score_probability_mlp,max_score_probability_mlp,mean_score_topsis_pi,max_score_topsis_pi,mean_score_vikor_pi,max_score_vikor_pi,mean_score_topsis_shap,max_score_topsis_shap,mean_score_vikor_shap,max_score_vikor_shap
5933,1721,100,27,5933500.0,1721500.0,0.28948146,0.99962014,0.59538573,0.77239275,0.5781164,0.7921241,0.6808693,0.73332447,0.58793265,0.80520177
5892,1730,57,16,5892383.333333333,1730665.7894736843,0.28943214,1.0,0.6348774,0.8837894,0.63093907,0.9456262,0.6819246,0.75146323,0.62646246,0.89831275
5899,1770,100,30,5899500.0,1770500.0,0.2886319,0.9999989,0.62396395,0.8365869,0.61665857,0.88932884,0.6790468,0.7428489,0.6312023,0.9165896
5890,1759,100,19,5890500.0,1759500.0,0.28823805,0.999981,0.58164626,0.8359888,0.5621771,0.8850278,0.67393976,0.7777059,0.5740451,0.89513314
5950,1787,100,28,5950500.0,1787500.0,0.28596616,1.0,0.6259193,0.90724754,0.62272626,0.984195,0.6921238,0.7692087,0.6310608,0.97441614
5951,1781,100,28,5951500.0,1781500.0,0.28469247,1.0,0.639852,0.90759045,0.63618916,0.98460007,0.6992056,0.7727385,0.6459741,0.98001695
5860,1722,100,21,5860500.0,1722500.0,0.2845881,0.9999989,0.5904422,0.85595644,0.5707499,0.9059514,0.67799217,0.7522064,0.5794743,0.91726834
5940,1717,100,27,5940500.0,1717500.0,0.28458586,1.0,0.6484671,0.8879391,0.64825666,0.95418304,0.6925401,0.75511795,0.6426966,0.9138303
5910,1738,100,14,5910500.0,1738500.0,0.28433722,1.0,0.59115505,0.9151983,0.57351935,0.98508435,0.685186,0.7992336,0.5799274,0.9747073
5939,1716,100,27,5939500.0,1716500.0,0.2829649,1.0,0.62254804,0.8904278,0.6147895,0.9561752,0.68605864,0.75628525,0.6075834,0.91303205
5932,1721,100,27,5932500.0,1721500.0,0.28256086,0.9999112,0.6067213,0.77213,0.58903617,0.79151475,0.6785038,0.7330122,0.58730865,0.80660653
5943,1775,100,28,5943500.0,1775500.0,0.28000244,1.0,0.62843835,0.90712905,0.6291392,0.9854286,0.68960047,0.76980066,0.64374,0.983562
5942,1722,100,26,5942500.0,1722500.0,0.27907905,1.0,0.6254661,0.8883432,0.61910605,0.95589256,0.6848374,0.75496984,0.61670995,0.92068183
5906,1736,100,26,5906500.0,1736500.0,0.27660134,1.0,0.618587,0.8908913,0.6141305,0.96166617,0.6813344,0.7572487,0.61935633,0.91868234
5939,1719,100,27,5939500.0,1719500.0,0.27569598,1.0,0.63826126,0.8904501,0.6340337,0.95399255,0.68747336,0.7561429,0.6267351,0.9112123
5940,1720,100,25,5940500.0,1720500.0,0.27524707,1.0,0.617535,0.8871878,0.6071234,0.9532927,0.67717695,0.7514066,0.5940833,0.9100204
5891,1733,100,27,5891500.0,1733500.0,0.2748704,1.0,0.6320132,0.89000905,0.627119,0.95968896,0.68309873,0.7541383,0.6147475,0.9064353
5988,1752,100,26,5988500.0,1752500.0,0.2741605,1.0,0.63163793,0.8938622,0.6276443,0.96348476,0.69354,0.767129,0.6333677,0.9273845
5994,1750,100,27,5994500.0,1750500.0,0.2739316,1.0,0.65255594,0.90760434,0.65049434,0.9840799,0.69921994,0.7733488,0.65533173,0.97883666
5940,1714,100,26,5940500.0,1714500.0,0.27376333,1.0,0.6408248,0.88866204,0.6376719,0.95631075,0.68703455,0.75695777,0.63205904,0.9243674
5924,1747,100,27,5924500.0,1747500.0,0.27297276,0.9993417,0.57579756,0.73740304,0.5598322,0.75924754,0.6744377,0.7298724,0.5787071,0.7757189
5941,1775,100,27,5941500.0,1775500.0,0.27271214,1.0,0.6301868,0.9063717,0.6281924,0.98302865,0.6882586,0.7662178,0.63202703,0.9674649
6049,1694,20,0,6049100.0,1694500.0,0.27224547,0.99625075,0.52914035,0.71540755,0.49599463,0.7164504,0.6567606,0.70316344,0.46562546,0.6821482
5935,1725,100,25,5935500.0,1725500.0,0.27201948,0.99994713,0.5871855,0.8054561,0.5702193,0.8319299,0.6782652,0.7383058,0.58513165,0.842628
5939,1711,100,27,5939500.0,1711500.0,0.27199033,1.0,0.6090991,0.89023566,0.60413307,0.95674086,0.678952,0.7536963,0.61050916,0.92712474
5903,1734,100,25,5903500.0,1734500.0,0.2719606,1.0,0.5963738,0.8867015,0.5874694,0.95210016,0.6702129,0.7507232,0.58884597,0.90804315
5902,1739,100,27,5902500.0,1739500.0,0.2717842,1.0,0.6369667,0.9050083,0.6376991,0.98087007,0.6927993,0.76289636,0.6526726,0.9589956
5907,1739,100,25,5907500.0,1739500.0,0.271417,1.0,0.63885826,0.90497005,0.63750213,0.98009247,0.6790527,0.75440264,0.62980485,0.9454706
5934,1722,100,25,5934500.0,1722500.0,0.27046463,0.99910533,0.600171,0.8039732,0.5809868,0.82994163,0.674929,0.7303914,0.5834328,0.82498103
5923,1728,3,0,5923916.666666667,1728916.6666666667,0.27046272,0.81123257,0.5099297,0.68214154,0.48404083,0.6762099,0.6485736,0.7008493,0.4854232,0.6412171
5924,1778,100,24,5924500.0,1778500.0,0.2703022,0.99999684,0.59785557,0.8783679,0.5822342,0.9349126,0.66871333,0.7470661,0.5844793,0.91872203
5935,1715,15,4,5935916.666666667,1715416.6666666667,0.2701399,1.0,0.63655555,0.88881075,0.63016784,0.9530973,0.6834933,0.7444015,0.61698306,0.8826215
5944,1781,100,27,5944500.0,1781500.0,0.27007073,0.9999999,0.6248127,0.9100208,0.62188566,0.9866202,0.69840944,0.7759226,0.6355608,0.9811673
5932,1801,1,0,5932050.0,1801050.0,0.26980293,0.26980293,0.39554098,0.39554098,0.34289122,0.34289122,0.6439399,0.6439399,0.3858425,0.3858425
5857,1720,100,14,5857500.0,1720500.0,0.26945952,0.99999833,0.55653614,0.86264986,0.5369835,0.9164431,0.67731726,0.75552833,0.5556132,0.9306762
5891,1737,100,26,5891500.0,1737500.0,0.26855117,1.0,0.62827975,0.89005965,0.6234117,0.9575504,0.68105286,0.7483376,0.6074457,0.89234024
5985,1752,100,26,5985500.0,1752500.0,0.26814812,1.0,0.6328547,0.8919292,0.6304773,0.9572396,0.69436765,0.7658636,0.63252467,0.9261545
5945,1716,100,25,5945500.0,1716500.0,0.267479,1.0,0.6224106,0.89021826,0.61545175,0.95753604,0.67954475,0.7592196,0.6173421,0.9327845
5991,1757,100,25,5991500.0,1757500.0,0.26744443,1.0,0.6032061,0.88340527,0.59694904,0.95003355,0.688594,0.77452415,0.6251743,0.9649111
5990,1757,100,25,5990500.0,1757500.0,0.26681173,1.0,0.61805826,0.88453275,0.6178636,0.94928795,0.69824606,0.77335614,0.6501377,0.95835906
5942,1775,100,26,5942500.0,1775500.0,0.26578563,1.0,0.6334122,0.9064444,0.6330449,0.9838985,0.6922171,0.76775956,0.6424596,0.9729936
5992,1756,100,23,5992500.0,1756500.0,0.26567763,1.0,0.6170585,0.9089388,0.61107326,0.98733306,0.69200546,0.77100235,0.62876153,0.9901669
5994,1754,100,24,5994500.0,1754500.0,0.2639085,1.0,0.62944585,0.8820776,0.62321705,0.9467962,0.68579453,0.76580745,0.6274893,0.94305074
5948,1776,100,26,5948500.0,1776500.0,0.26374885,1.0,0.6199213,0.908054,0.61474717,0.98359215,0.68673944,0.76829916,0.6235438,0.96360725
5936,1725,100,26,5936500.0,1725500.0,0.2635005,0.99997604,0.6025947,0.80545014,0.58548707,0.8334001,0.6811177,0.744249,0.58785063,0.8563434
5941,1708,100,25,5941500.0,1708500.0,0.2634763,1.0,0.6140959,0.8881617,0.6078941,0.9555306,0.67932534,0.7565188,0.6039397,0.92137676
5945,1777,100,25,5945500.0,1777500.0,0.26345265,1.0,0.62160146,0.91005665,0.62053823,0.9867648,0.6986545,0.7778354,0.64967406,0.98725027
5944,1776,100,26,5944500.0,1776500.0,0.26196986,1.0,0.63732547,0.90894985,0.64192003,0.9867346,0.70161706,0.7744822,0.67122537,0.99025273
5987,1754,100,25,5987500.0,1754500.0,0.26130334,1.0,0.6156574,0.8920474,0.610736,0.95464486,0.6908117,0.76726913,0.63001096,0.9273961
5940,1716,100,26,5940500.0,1716500.0,0.26091394,1.0,0.6187024,0.88849264,0.6083515,0.9543182,0.68309397,0.7573425,0.605209,0.91577816
5986,1750,100,26,5986500.0,1750500.0,0.2607628,1.0,0.62291455,0.89241487,0.61595446,0.9590749,0.6888122,0.7662203,0.6235738,0.9375446
5950,1786,100,25,5950500.0,1786500.0,0.26061404,1.0,0.6276054,0.90786785,0.62511384,0.98407376,0.6931044,0.768765,0.6322342,0.96930385
5985,1753,100,25,5985500.0,1753500.0,0.26047403,1.0,0.62695193,0.89298785,0.62363243,0.9618009,0.6926913,0.7689383,0.63376135,0.94811803
5946,1782,100,26,5946500.0,1782500.0,0.26040906,1.0,0.61414194,0.9088734,0.6090319,0.9844055,0.6922054,0.77291745,0.62657696,0.97083634
5943,1722,100,25,5943500.0,1722500.0,0.2603174,1.0,0.6292235,0.88834155,0.623029,0.9563597,0.68357134,0.75580174,0.6223232,0.9221231
5997,1758,100,26,5997500.0,1758500.0,0.26029104,1.0,0.6204916,0.8821004,0.6117369,0.9488039,0.6935161,0.77053434,0.6351404,0.95650905
5908,1742,100,25,5908500.0,1742500.0,0.2602198,1.0,0.61618257,0.87911797,0.61090887,0.9457694,0.6721302,0.75587296,0.6159437,0.939017
